frame,pid,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
51,0,531,530,540,540
54,0,489,525,499,537
55,0,502,516,512,528
183,0,726,576,776,628
190,0,615,638,650,687
266,0,691,526,702,539
270,0,601,524,610,535
291,0,744,578,788,613
321,0,724,581,769,636
330,0,605,638,625,664
360,0,469,600,508,643
366,0,469,600,509,644
367,0,469,600,509,644
368,0,469,600,509,644
369,0,468,600,509,643
370,0,469,600,509,642
371,0,469,600,509,642
372,0,468,606,509,647
373,0,469,622,508,663
374,0,469,629,508,669
375,0,469,633,508,670
376,0,468,634,508,674
377,0,467,645,507,687
451,0,374,516,400,548
452,0,425,503,455,541
467,0,351,496,367,517
468,0,351,496,367,517
524,0,374,592,389,610
525,0,374,592,390,609
526,0,374,591,390,609
527,0,374,591,390,609
528,0,374,591,390,609
529,0,374,591,390,609
530,0,374,591,390,609
531,0,374,591,390,609
532,0,374,591,390,609
545,0,662,422,678,442
546,0,726,404,742,428
547,0,781,399,801,430
551,0,855,376,882,412
552,0,855,376,882,412
553,0,855,376,882,412
554,0,856,376,882,412
555,0,856,376,882,412
556,0,856,376,882,412
557,0,856,376,882,411
558,0,856,377,882,411
559,0,856,377,882,411
560,0,856,377,882,411
561,0,856,377,882,411
562,0,856,377,882,411
563,0,855,375,881,411
1574,0,365,535,375,548
1574,1,458,540,471,559
1574,2,587,522,604,549
1596,0,409,502,430,533
1627,0,467,522,478,534
1691,0,525,414,539,432
1808,0,479,537,498,560
1822,0,578,453,601,476
1889,0,733,597,765,624
1920,0,578,436,598,459
1921,0,527,469,545,488
2018,0,374,592,389,610
2020,0,374,591,390,609
2021,0,374,591,390,609
2022,0,374,592,390,609
2023,0,374,592,390,609
2024,0,374,592,390,609
2025,0,374,592,390,609
2027,0,374,592,390,609
2028,0,374,591,390,609
2029,0,374,591,390,609
2030,0,374,591,390,609
2031,0,374,591,390,609
2032,0,374,591,390,609
2033,0,374,591,390,609
2034,0,374,591,390,609
2035,0,374,591,390,609
2036,0,374,591,390,609
2037,0,374,591,390,609
2038,0,374,591,390,609
2039,0,374,592,390,609
2040,0,374,592,389,609
